ticker,symbol,base_symbol,active
ETHBTC,ETH,BTC,1
LTCBTC,LTC,BTC,1
BNBBTC,BNB,BTC,1
NEOBTC,NEO,BTC,1
BCCBTC,BCC,BTC,0
GASBTC,GAS,BTC,1
HSRBTC,HSR,BTC,0
MCOBTC,MCO,BTC,0
WTCBTC,WTC,BTC,0
LRCBTC,LRC,BTC,1
QTUMBTC,QTUM,BTC,1
YOYOBTC,YOYO,BTC,0
OMGBTC,OMG,BTC,0
ZRXBTC,ZRX,BTC,1
STRATBTC,STRAT,BTC,0
SNGLSBTC,SNGLS,BTC,0
BQXBTC,BQX,BTC,0
KNCBTC,KNC,BTC,1
FUNBTC,FUN,BTC,0
SNMBTC,SNM,BTC,0
IOTABTC,IOTA,BTC,1
LINKBTC,LINK,BTC,1
XVGBTC,XVG,BTC,0
SALTBTC,SALT,BTC,0
MDABTC,MDA,BTC,0
MTLBTC,MTL,BTC,1
SUBBTC,SUB,BTC,0
EOSBTC,EOS,BTC,1
SNTBTC,SNT,BTC,1
ETCBTC,ETC,BTC,1
MTHBTC,MTH,BTC,0
ENGBTC,ENG,BTC,0
DNTBTC,DNT,BTC,0
ZECBTC,ZEC,BTC,1
BNTBTC,BNT,BTC,1
ASTBTC,AST,BTC,1
DASHBTC,DASH,BTC,1
OAXBTC,OAX,BTC,1
ICNBTC,ICN,BTC,0
BTGBTC,BTG,BTC,0
EVXBTC,EVX,BTC,0
REQBTC,REQ,BTC,1
VIBBTC,VIB,BTC,1
TRXBTC,TRX,BTC,1
POWRBTC,POWR,BTC,1
ARKBTC,ARK,BTC,0
XRPBTC,XRP,BTC,1
MODBTC,MOD,BTC,0
ENJBTC,ENJ,BTC,1
STORJBTC,STORJ,BTC,1
VENBTC,VEN,BTC,0
KMDBTC,KMD,BTC,1
RCNBTC,RCN,BTC,0
NULSBTC,NULS,BTC,1
RDNBTC,RDN,BTC,0
XMRBTC,XMR,BTC,0
DLTBTC,DLT,BTC,0
AMBBTC,AMB,BTC,1
BATBTC,BAT,BTC,1
BCPTBTC,BCPT,BTC,0
ARNBTC,ARN,BTC,0
GVTBTC,GVT,BTC,0
CDTBTC,CDT,BTC,0
GXSBTC,GXS,BTC,0
POEBTC,POE,BTC,0
QSPBTC,QSP,BTC,0
BTSBTC,BTS,BTC,0
XZCBTC,XZC,BTC,0
LSKBTC,LSK,BTC,1
TNTBTC,TNT,BTC,0
FUELBTC,FUEL,BTC,0
MANABTC,MANA,BTC,1
BCDBTC,BCD,BTC,0
DGDBTC,DGD,BTC,0
ADXBTC,ADX,BTC,1
ADABTC,ADA,BTC,1
PPTBTC,PPT,BTC,0
CMTBTC,CMT,BTC,0
XLMBTC,XLM,BTC,1
CNDBTC,CND,BTC,0
LENDBTC,LEND,BTC,0
WABIBTC,WABI,BTC,0
TNBBTC,TNB,BTC,0
WAVESBTC,WAVES,BTC,1
GTOBTC,GTO,BTC,0
ICXBTC,ICX,BTC,1
OSTBTC,OST,BTC,0
ELFBTC,ELF,BTC,1
AIONBTC,AION,BTC,0
NEBLBTC,NEBL,BTC,0
BRDBTC,BRD,BTC,0
EDOBTC,EDO,BTC,0
WINGSBTC,WINGS,BTC,0
NAVBTC,NAV,BTC,0
LUNBTC,LUN,BTC,0
TRIGBTC,TRIG,BTC,0
APPCBTC,APPC,BTC,0
VIBEBTC,VIBE,BTC,0
RLCBTC,RLC,BTC,1
INSBTC,INS,BTC,0
PIVXBTC,PIVX,BTC,1
IOSTBTC,IOST,BTC,1
CHATBTC,CHAT,BTC,0
STEEMBTC,STEEM,BTC,1
NANOBTC,NANO,BTC,0
VIABTC,VIA,BTC,0
BLZBTC,BLZ,BTC,1
AEBTC,AE,BTC,0
RPXBTC,RPX,BTC,0
NCASHBTC,NCASH,BTC,0
POABTC,POA,BTC,0
ZILBTC,ZIL,BTC,1
ONTBTC,ONT,BTC,1
STORMBTC,STORM,BTC,0
XEMBTC,XEM,BTC,0
WANBTC,WAN,BTC,1
WPRBTC,WPR,BTC,0
QLCBTC,QLC,BTC,0
SYSBTC,SYS,BTC,1
GRSBTC,GRS,BTC,0
CLOAKBTC,CLOAK,BTC,0
GNTBTC,GNT,BTC,0
LOOMBTC,LOOM,BTC,1
BCNBTC,BCN,BTC,0
REPBTC,REP,BTC,0
TUSDBTC,TUSD,BTC,0
ZENBTC,ZEN,BTC,1
SKYBTC,SKY,BTC,0
CVCBTC,CVC,BTC,0
THETABTC,THETA,BTC,1
IOTXBTC,IOTX,BTC,1
QKCBTC,QKC,BTC,1
AGIBTC,AGI,BTC,0
NXSBTC,NXS,BTC,0
DATABTC,DATA,BTC,1
SCBTC,SC,BTC,0
NPXSBTC,NPXS,BTC,0
KEYBTC,KEY,BTC,0
NASBTC,NAS,BTC,0
MFTBTC,MFT,BTC,0
DENTBTC,DENT,BTC,0
ARDRBTC,ARDR,BTC,1
HOTBTC,HOT,BTC,0
VETBTC,VET,BTC,1
DOCKBTC,DOCK,BTC,1
POLYBTC,POLY,BTC,0
PHXBTC,PHX,BTC,0
HCBTC,HC,BTC,0
GOBTC,GO,BTC,0
PAXBTC,PAX,BTC,0
RVNBTC,RVN,BTC,1
DCRBTC,DCR,BTC,1
MITHBTC,MITH,BTC,0
BCHABCBTC,BCHABC,BTC,0
BCHSVBTC,BCHSV,BTC,0
RENBTC,REN,BTC,1
BTTBTC,BTT,BTC,0
ONGBTC,ONG,BTC,1
FETBTC,FET,BTC,1
CELRBTC,CELR,BTC,1
MATICBTC,MATIC,BTC,1
ATOMBTC,ATOM,BTC,1
PHBBTC,PHB,BTC,1
TFUELBTC,TFUEL,BTC,1
ONEBTC,ONE,BTC,1
FTMBTC,FTM,BTC,1
BTCBBTC,BTCB,BTC,0
ALGOBTC,ALGO,BTC,1
ERDBTC,ERD,BTC,0
DOGEBTC,DOGE,BTC,1
DUSKBTC,DUSK,BTC,1
ANKRBTC,ANKR,BTC,1
WINBTC,WIN,BTC,0
COSBTC,COS,BTC,1
COCOSBTC,COCOS,BTC,0
TOMOBTC,TOMO,BTC,0
PERLBTC,PERL,BTC,0
CHZBTC,CHZ,BTC,1
BANDBTC,BAND,BTC,1
BEAMBTC,BEAM,BTC,0
XTZBTC,XTZ,BTC,1
HBARBTC,HBAR,BTC,1
NKNBTC,NKN,BTC,1
STXBTC,STX,BTC,1
KAVABTC,KAVA,BTC,1
ARPABTC,ARPA,BTC,1
CTXCBTC,CTXC,BTC,1
BCHBTC,BCH,BTC,1
TROYBTC,TROY,BTC,0
VITEBTC,VITE,BTC,1
FTTBTC,FTT,BTC,0
OGNBTC,OGN,BTC,1
DREPBTC,DREP,BTC,1
TCTBTC,TCT,BTC,0
WRXBTC,WRX,BTC,0
LTOBTC,LTO,BTC,1
MBLBTC,MBL,BTC,0
COTIBTC,COTI,BTC,1
STPTBTC,STPT,BTC,1
SOLBTC,SOL,BTC,1
CTSIBTC,CTSI,BTC,1
HIVEBTC,HIVE,BTC,1
CHRBTC,CHR,BTC,1
MDTBTC,MDT,BTC,1
STMXBTC,STMX,BTC,0
PNTBTC,PNT,BTC,0
DGBBTC,DGB,BTC,1
COMPBTC,COMP,BTC,1
SXPBTC,SXP,BTC,1
SNXBTC,SNX,BTC,1
IRISBTC,IRIS,BTC,1
MKRBTC,MKR,BTC,1
DAIBTC,DAI,BTC,0
RUNEBTC,RUNE,BTC,1
FIOBTC,FIO,BTC,1
AVABTC,AVA,BTC,1
BALBTC,BAL,BTC,1
YFIBTC,YFI,BTC,1
JSTBTC,JST,BTC,1
SRMBTC,SRM,BTC,0
ANTBTC,ANT,BTC,0
CRVBTC,CRV,BTC,1
SANDBTC,SAND,BTC,1
OCEANBTC,OCEAN,BTC,1
NMRBTC,NMR,BTC,1
DOTBTC,DOT,BTC,1
LUNABTC,LUNA,BTC,0
IDEXBTC,IDEX,BTC,1
RSRBTC,RSR,BTC,0
PAXGBTC,PAXG,BTC,1
WNXMBTC,WNXM,BTC,0
TRBBTC,TRB,BTC,1
BZRXBTC,BZRX,BTC,0
WBTCBTC,WBTC,BTC,1
SUSHIBTC,SUSHI,BTC,1
YFIIBTC,YFII,BTC,0
KSMBTC,KSM,BTC,1
EGLDBTC,EGLD,BTC,1
DIABTC,DIA,BTC,1
UMABTC,UMA,BTC,1
BELBTC,BEL,BTC,1
WINGBTC,WING,BTC,1
UNIBTC,UNI,BTC,1
NBSBTC,NBS,BTC,0
OXTBTC,OXT,BTC,1
SUNBTC,SUN,BTC,0
AVAXBTC,AVAX,BTC,1
HNTBTC,HNT,BTC,0
FLMBTC,FLM,BTC,1
SCRTBTC,SCRT,BTC,1
ORNBTC,ORN,BTC,1
UTKBTC,UTK,BTC,1
XVSBTC,XVS,BTC,1
ALPHABTC,ALPHA,BTC,1
VIDTBTC,VIDT,BTC,1
AAVEBTC,AAVE,BTC,1
NEARBTC,NEAR,BTC,1
FILBTC,FIL,BTC,1
INJBTC,INJ,BTC,1
AERGOBTC,AERGO,BTC,1
AUDIOBTC,AUDIO,BTC,1
CTKBTC,CTK,BTC,1
BOTBTC,BOT,BTC,0
AKROBTC,AKRO,BTC,0
AXSBTC,AXS,BTC,1
HARDBTC,HARD,BTC,1
RENBTCBTC,RENBTC,BTC,1
STRAXBTC,STRAX,BTC,1
FORBTC,FOR,BTC,1
UNFIBTC,UNFI,BTC,1
ROSEBTC,ROSE,BTC,1
SKLBTC,SKL,BTC,1
SUSDBTC,SUSD,BTC,0
GLMBTC,GLM,BTC,1
GRTBTC,GRT,BTC,1
JUVBTC,JUV,BTC,0
PSGBTC,PSG,BTC,0
1INCHBTC,1INCH,BTC,1
REEFBTC,REEF,BTC,0
OGBTC,OG,BTC,1
ATMBTC,ATM,BTC,0
ASRBTC,ASR,BTC,0
CELOBTC,CELO,BTC,1
RIFBTC,RIF,BTC,1
BTCSTBTC,BTCST,BTC,0
TRUBTC,TRU,BTC,1
CKBBTC,CKB,BTC,0
TWTBTC,TWT,BTC,1
FIROBTC,FIRO,BTC,1
LITBTC,LIT,BTC,1
SFPBTC,SFP,BTC,1
FXSBTC,FXS,BTC,1
DODOBTC,DODO,BTC,1
FRONTBTC,FRONT,BTC,1
EASYBTC,EASY,BTC,0
CAKEBTC,CAKE,BTC,1
ACMBTC,ACM,BTC,0
AUCTIONBTC,AUCTION,BTC,1
PHABTC,PHA,BTC,1
TVKBTC,TVK,BTC,0
BADGERBTC,BADGER,BTC,1
FISBTC,FIS,BTC,1
OMBTC,OM,BTC,1
PONDBTC,POND,BTC,1
DEGOBTC,DEGO,BTC,1
ALICEBTC,ALICE,BTC,1
LINABTC,LINA,BTC,1
PERPBTC,PERP,BTC,1
RAMPBTC,RAMP,BTC,0
SUPERBTC,SUPER,BTC,1
CFXBTC,CFX,BTC,1
EPSBTC,EPS,BTC,0
AUTOBTC,AUTO,BTC,0
TKOBTC,TKO,BTC,1
TLMBTC,TLM,BTC,1
MIRBTC,MIR,BTC,0
BARBTC,BAR,BTC,0
FORTHBTC,FORTH,BTC,1
EZBTC,EZ,BTC,0
ICPBTC,ICP,BTC,1
ARBTC,AR,BTC,1
POLSBTC,POLS,BTC,0
MDXBTC,MDX,BTC,1
LPTBTC,LPT,BTC,1
AGIXBTC,AGIX,BTC,1
NUBTC,NU,BTC,0
ATABTC,ATA,BTC,1
GTCBTC,GTC,BTC,1
TORNBTC,TORN,BTC,0
BAKEBTC,BAKE,BTC,1
KEEPBTC,KEEP,BTC,0
KLAYBTC,KLAY,BTC,1
BONDBTC,BOND,BTC,1
MLNBTC,MLN,BTC,1
QUICKBTC,QUICK,BTC,1
C98BTC,C98,BTC,1
CLVBTC,CLV,BTC,1
QNTBTC,QNT,BTC,1
FLOWBTC,FLOW,BTC,1
MINABTC,MINA,BTC,1
FARMBTC,FARM,BTC,1
ALPACABTC,ALPACA,BTC,1
MBOXBTC,MBOX,BTC,1
VGXBTC,VGX,BTC,0
WAXPBTC,WAXP,BTC,1
TRIBEBTC,TRIBE,BTC,0
GNOBTC,GNO,BTC,0
PROMBTC,PROM,BTC,1
DYDXBTC,DYDX,BTC,1
GALABTC,GALA,BTC,1
ILVBTC,ILV,BTC,1
YGGBTC,YGG,BTC,1
FIDABTC,FIDA,BTC,1
AGLDBTC,AGLD,BTC,1
RADBTC,RAD,BTC,1
BETABTC,BETA,BTC,1
RAREBTC,RARE,BTC,1
SSVBTC,SSV,BTC,1
LAZIOBTC,LAZIO,BTC,1
CHESSBTC,CHESS,BTC,1
DARBTC,DAR,BTC,1
BNXBTC,BNX,BTC,1
RGTBTC,RGT,BTC,0
MOVRBTC,MOVR,BTC,1
CITYBTC,CITY,BTC,0
ENSBTC,ENS,BTC,1
QIBTC,QI,BTC,1
PORTOBTC,PORTO,BTC,1
JASMYBTC,JASMY,BTC,0
AMPBTC,AMP,BTC,0
PLABTC,PLA,BTC,0
PYRBTC,PYR,BTC,1
RNDRBTC,RNDR,BTC,1
ALCXBTC,ALCX,BTC,1
SANTOSBTC,SANTOS,BTC,1
MCBTC,MC,BTC,0
ANYBTC,ANY,BTC,0
BICOBTC,BICO,BTC,1
FLUXBTC,FLUX,BTC,1
VOXELBTC,VOXEL,BTC,1
HIGHBTC,HIGH,BTC,1
CVXBTC,CVX,BTC,0
PEOPLEBTC,PEOPLE,BTC,1
SPELLBTC,SPELL,BTC,0
USTBTC,UST,BTC,0
JOEBTC,JOE,BTC,1
ACHBTC,ACH,BTC,1
IMXBTC,IMX,BTC,1
GLMRBTC,GLMR,BTC,1
LOKABTC,LOKA,BTC,1
API3BTC,API3,BTC,1
ACABTC,ACA,BTC,1
ANCBTC,ANC,BTC,0
XNOBTC,XNO,BTC,1
WOOBTC,WOO,BTC,1
ALPINEBTC,ALPINE,BTC,1
GMTBTC,GMT,BTC,1
KDABTC,KDA,BTC,1
APEBTC,APE,BTC,1
MULTIBTC,MULTI,BTC,0
ASTRBTC,ASTR,BTC,1
MOBBTC,MOB,BTC,1
NEXOBTC,NEXO,BTC,1
GALBTC,GAL,BTC,1
LDOBTC,LDO,BTC,1
OPBTC,OP,BTC,1
STGBTC,STG,BTC,1
GMXBTC,GMX,BTC,1
POLYXBTC,POLYX,BTC,1
APTBTC,APT,BTC,1
OSMOBTC,OSMO,BTC,1
HFTBTC,HFT,BTC,1
HOOKBTC,HOOK,BTC,1
MAGICBTC,MAGIC,BTC,1
RPLBTC,RPL,BTC,0
GNSBTC,GNS,BTC,1
SYNBTC,SYN,BTC,1
LQTYBTC,LQTY,BTC,1
IDBTC,ID,BTC,1
ARBBTC,ARB,BTC,1
RDNTBTC,RDNT,BTC,1
EDUBTC,EDU,BTC,1
SUIBTC,SUI,BTC,1
MAVBTC,MAV,BTC,1
PENDLEBTC,PENDLE,BTC,1
ARKMBTC,ARKM,BTC,1
WLDBTC,WLD,BTC,1
SEIBTC,SEI,BTC,1
CYBERBTC,CYBER,BTC,1
NTRNBTC,NTRN,BTC,1
TIABTC,TIA,BTC,1
ORDIBTC,ORDI,BTC,1
VICBTC,VIC,BTC,1
BLURBTC,BLUR,BTC,1
VANRYBTC,VANRY,BTC,1
ACEBTC,ACE,BTC,1
NFPBTC,NFP,BTC,1
AIBTC,AI,BTC,1
XAIBTC,XAI,BTC,1
MANTABTC,MANTA,BTC,1
ALTBTC,ALT,BTC,1
PYTHBTC,PYTH,BTC,1
RONINBTC,RONIN,BTC,1
DYMBTC,DYM,BTC,1
PIXELBTC,PIXEL,BTC,1
STRKBTC,STRK,BTC,1
PORTALBTC,PORTAL,BTC,1
PDABTC,PDA,BTC,1
AXLBTC,AXL,BTC,1
